---,LOKASI,TERMINAL,ZONA,IP Address,MINI PC,,,,,,,,,,,MONITOR,,,,,,,,,
,,,,,Buatan,Merk,Model,S/N,Support Port,Disk Capacity,Ram Capacity,OS,Tahun Pengadaan,Kondisi (%),Status Garansi,Buatan,Merk,Model,S/N,Support Port,Ukuran (Inch),Tahun Pengadaan,Kondisi (%),Status Garansi,
51,Checkin Island A 24 T3-INT,3U-INT,Checkin,172.17.150.59,China,HP,Thin Client t640,8CN32508LL,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,18-08-2026,Korea,LG,43SM5KE-B,107INHZ0V561,"3 HDMI, 2DP, 1DVI","43""",2022,Normal 90%,,
52,Checkin Island A 25 T3-INT,3U-INT,Checkin,172.17.150.58,.,.,.,E000141200314,"1HDMI,1VGA",8 GB,4 GB,Lubuntu,2017,Normal 35%,,Korea,BOE,LDV43AAAXX,D430132AA310200119,"3 HDMI, 1DP","43""",2021,Normal 90%,,
53,Checkin Island A 26 T3-INT,3U-INT,Checkin,172.17.150.57,China,HP,Thin Client Elite t655,8CG40935Z6,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,LG,43SMSKE,107INRC0V558 ,"3 HDMI, 1DP,1DVI-D","43""",2014,Normal 90%,,
54,Checkin Island B 01 T3-INT,3U-INT,Checkin,172.17.150.55,China,HP,Thin Client t640,8CN05302J8,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,18-02-2024,Korea,LG,43SM5KE,111INRC5G310,"3 HDMI, 1DP,1DVI-D","43""",2022,Normal 90%,,
55,Checkin Island B 02 T3-INT,3U-INT,Checkin,172.17.150.54,.,.,.,E000141200298,"1HDMI,1VGA",8 GB,4 GB,Windows 10,2017,Normal 35%,,Korea,LG,43SM5KE,111INSE5G150,"3 HDMI, 1DP,1DVI-D","43""",2022,Normal 90%,,
56,Checkin Island B 03 T3-INT,3U-INT,Checkin,172.17.150.53,.,.,.,E000141200299,"1HDMI,1VGA",8 GB,4 GB,Windows 10,2017,Normal 35%,,Korea,LG,43SM5KE,111INKH5G133,"3 HDMI, 1DP,1DVI-D","43""",2022,Normal 90%,,
57,Checkin Island B 04 T3-INT,3U-INT,Checkin,172.17.150.52,.,.,.,8CN1010LNM,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-08-2026,Korea,LG,42LS35A,411KCFT16211,"1 HDMI, 1 RGB","42""",2014,Normal 90%,,
58,Checkin Island B 05 T3-INT,3U-INT,Checkin,172.17.150.51,.,.,.,E000141200296,"1HDMI,1VGA",8 GB,4 GB,Lubuntu,2017,Normal 35%,,Korea,LG,43UH5F-BJ,004KCTBMQ969,"1 HDMI, 1 RGB","42""",2014,Normal 90%,,
59,Checkin Island B 06 T3-INT,3U-INT,Checkin,172.17.150.50,China,HP,Thin Client Elite t655,8CG3452KDY,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,,Korea,LG,43SM5KE-B,209INFKAP443,"3 HDMI, 2DP, 1DVI","43""",2022,Normal 90%,,
60,Checkin Island B 07 T3-INT,3U-INT,Checkin,172.17.150.49,China,HP,Thin Client t640,8CN3280HZP,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,11-09-2026,Korea,LG,43SM5KE-B,209INJLAP444,"3 HDMI, 2DP, 1DVI","43""",2022,Normal 90%,,
61,Checkin Island B 08 T3-INT,3U-INT,Checkin,172.17.150.48,.,.,.,E000141200185,"1HDMI,1VGA",8 GB,4 GB,Windows 10,2017,Normal 35%,,Korea,LG,43SM5KE-B,111INGQ5G199  ,"1 HDMI, 1 RGB","42""",2014,Normal 90%,,
62,Checkin Island B 09 T3-INT,3U-INT,Checkin,172.17.150.47,China,HP,Thin Client t640,8CN05302JM,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,18-02-2024,Korea,LG,43SM5KE-B,111INLV5G128,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
63,Checkin Island B 10 T3-INT,3U-INT,Checkin,172.17.150.46,.,.,.,E000141200171,"1HDMI,1VGA",8 GB,4 GB,Windows 10,2017,Normal 35%,,Korea,LG,43SM5KE-B,111INYD5G170,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,30-01-2026,
64,Checkin Island B 11 T3-INT,3U-INT,Checkin,172.17.150.45,China,HP,Thin Client t640,8CN32508L9,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-08-2026,Korea,LG,43UH5F-HJ,008INEW6S708,"1 HDMI, 1 RGB","42""",2014,Normal 90%,,
65,Checkin Island B 12 T3-INT,3U-INT,Checkin,172.17.150.44,.,.,.,E000141200335,"1HDMI,1VGA",8 GB,4 GB,Lubuntu,2017,Normal 35%,,Korea,LG,43SM5KE-BJ,111INEW5G180,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,02-05-2026,
66,Checkin Island B 13 T3-INT,3U-INT,Checkin,172.17.150.43,China,HP,Thin Client t640,8CN2370KWF,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,07-11-2025,Korea,LG,43M5KD,806KCJZKE396,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
67,Checkin Island B 14 T3-INT,3U-INT,Checkin,172.17.150.41,China,HP,Thin Client t640,8CN2410FZD,"3 DP, 6 USB Type A, 1 LAN",8 GB,4 GB,Windows 10,2017,Normal 35%,,Korea,LG,43SM5KE-B,107INMF0V571,"1 HDMI, 1 RGB","42""",2014,Normal 90%,,
68,Checkin Island B 15 T3-INT,3U-INT,Checkin,172.17.150.40,.,.,.,1613631980,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,09-12-2025,Korea,LG,43SM5KE-B,111INGQ5F983,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
69,Checkin Island B 16 T3-INT,3U-INT,Checkin,172.17.150.39,.,.,.,G6PY80200404,"1HDMI,1VGA",120 GB,4 GB,Windows 10,2018,Normal 90%,22-04-2021,Korea,LG,43SM5KE-B,111INNG5G159,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,03-04-2026,
70,Checkin Island B 17 T3-INT,3U-INT,Checkin,172.17.150.38,China,HP,Thin Client t640,8CN3280HZW,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-08-2026,Korea,LG,43SM5KE-B,111INJLAV572,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
71,Checkin Island B 18 T3-INT,3U-INT,Checkin,172.17.150.37,China,HP,Thin Client t640,8CN3280HZS,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,11-09-2026,Korea,LG,43SM5KE,107INQUOV564,"1 HDMI, 1 RGB","42""",2014,Normal 90%,,
72,Checkin Island B 19 T3-INT,3U-INT,Checkin,172.17.150.36,.,.,.,E000141200323,"1HDMI,1VGA",8 GB,4 GB,Windows 10,2017,Normal 90%,,China,BOE,LDV43AAAXXID,D430132AA310200050,2 HDMI,"43""",2025,Normal 100%,,
73,Checkin Island B 20 T3-INT,3U-INT,Checkin,172.17.150.35,China,HP,Thin Client t640,8CN32508KX,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,11-09-2026,Korea,LG,43SM5KE-B,111INAR5G136,"1 HDMI, 1 RGB","43""",2023,Normal 90%,,
74,Checkin Island B 21 T3-INT,3U-INT,Checkin,172.17.150.34,.,.,.,G6PY802002P6,"1HDMI,1VGA",8 GB,4 GB,Windows 10,2017,Normal 90%,,Korea,LG,43SM5KE-B,111INXJ5G114,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
75,Checkin Island B 22 T3-INT,3U-INT,Checkin,172.17.150.33,.,.,.,E000141200177,"1HDMI,1VGA",60 GB,8 GB,Windows 10,2023,Normal 90%,15-08-2026,Korea,LG,43UN731CDTC,109INSE1U934,"1 HDMI, 1 RGB","42""",2014,Normal 90%,,
76,Checkin Island B 23 T3-INT,3U-INT,Checkin,172.17.150.246,China,HP,Thin Client t640,8CN23001V2,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-09-2025,China,BOE,LDV43AAAXX,D430132AA310200059,3 HDMI,"43""",2024,Normal 100%,,
77,Checkin Island B 24 T3-INT,3U-INT,Checkin,172.17.150.245,China,HP,Thin Client t640,8CN32508GD,"3 DP, 6 USB Type A, 1 LAN",8 GB,4 GB,Windows 10,2017,Normal 90%,,Korea,LG,43SM5KE,107INPT0V560,"3 HDMI, 2DP, 1DVI","43""",2022,Normal 90%,,
78,Checkin Island B 25 T3-INT,3U-INT,Checkin,172.17.150.30,.,.,.,E000141200164,"1HDMI,1VGA",8 GB,4 GB,Windows 10,2017,Normal 90%,,Korea,LG,43SM5KE-B,111INRC5G022,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
79,Checkin Island B 26 T3-INT,3U-INT,Checkin,172.17.150.29,China,HP,Thin Client Elite t655,8CG40935YZ,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,,Korea,LG,42LS35A,0004KCGWMQ967,"1 HDMI, 1 RGB","43""",2014,Normal 90%,,
80,Checkin Island C 01 T3-INT,3U-INT,Checkin,172.17.150.27,China,HP,Thin Client t640,8CN25202GH,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,18-02-2026,Korea,LG,42LS35A,411KCJZ16236,"1 HDMI, 1 RGB","42""",2014,Normal 90%,,
81,Checkin Island C 02 T3-INT,3U-INT,Checkin,172.17.150.26,China,HP,Thin Client t640,8CN1010LQ7,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,,Korea,LG,43SM5KE-B,111INCN1X067,"3 HDMI, 2DP, 1DVI","43""",2022,Normal 90%,,
82,Checkin Island C 03 T3-INT,3U-INT,Checkin,172.17.150.25,.,.,.,E000141200260,"1HDMI,1VGA",8 GB,4 GB,Lubuntu,2017,Normal 90%,,Korea,LG,43SM5KE-B,111INKH5G205,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,03-04-2026,
