,CGEAR,NAMA PERALATAN,LOKASI,Terminal,Zona,IP Address,Mini PC,,,,,,,,,,,Monitor,,,,,,,,,,,,,,,
,,PUBLIC SERVICES & IT SYSTEM BSH,,,,,Buatan,Merk,Model,S/N,Support Port,Disk Capacity,Ram Capacity,OS,Tahun Pembuatan,Kondisi,Status Garansi,Buatan,Merk,Model,S/N,Support Port,Ukuran (Inch),Tahun Pembuatan,Kondisi,Port,Converter,Port 2,,,,,
,TERMINAL 1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,423,FIDS - Display 423,Checkin 85 T2F,2F,Checkin,172.17.70.207,China,HP ,Thin Client t630,8CN1010LN2,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win10,2017,95,,Korea Selatan,LG,43SM5KE-BJ,106INXJ3B250,,"43""",2020,110,VGA & HDMI,,HDMI TO HDMI,18,,,,
19,424,FIDS - Display 424,Checkin 86 T2F,2F,Checkin,172.17.70.207,,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,106INTX3B217,,"43""",2020,110,VGA & HDMI,,VGA to HDMI,19,,,,
20,425,FIDS - Display 425,Checkin 87 T2F,2F,Checkin,172.17.70.208,China,Lenovo,ThinkEdge SE10,PF63L39R,"1 VGA, 1 DVI, 1 HDMI, 4 USB Type A, 1 LAN",250GB,4GB,Lubuntu,2017,95,,Korea Selatan,LG,43SM5KE-BJ,203INQU1L724,,"43""",2020,110,VGA & HDMI,,DP TO HDMI,20,,,,
21,426,FIDS - Display 426,Checkin 88 T2F,2F,Checkin,172.17.70.208,,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,203INNG1M135,,"43""",2020,110,VGA & HDMI,ü,VGA TO HDMI,21,,,,
22,427,FIDS - Display 427,Checkin 89 T2F,2F,Checkin,172.17.70.209,China,CGEAR,D945GSEJT,Filled By O.E.M,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",160GB,1GB,Lubuntu,2012,70,,Korea Selatan,LG,43SM5KE-BJ,203INDP1M154,,"43""",2020,110,VGA & HDMI,ü,VGA TO HDMI,22,,,,
23,428,FIDS - Display 428,Checkin 90 T2F,2F,Checkin,172.17.70.209,,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,203INXJ1M162,,"43""",2020,110,VGA & HDMI,,DVI TO DVI,23,,,,
24,429,FIDS - Display 429,Checkin 91 T2F,2F,Checkin,172.17.70.210,China,CGEAR,D945GSEJT,Filled By O.E.M,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",160GB,1GB,Lubuntu,2012,70,,Korea Selatan,LG,43SM5KE-BJ,203INNG1M159,,"43""",2020,110,DVI & VGA,ü,VGA TO HDMI,24,,,,
25,430,FIDS - Display 430,Checkin 92 T2F,2F,Checkin,172.17.70.210,,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,203INEW1M156,,"43""",2020,110,DVI & VGA,,DVI TO DVI,25,,,,
26,431,FIDS - Display 431,Checkin 93 T2F,2F,Checkin,172.17.70.211,Jepang,Fujitech,Smart PC,Filled By O.E.M,"1 VGA, 1 DVI, 1 HDMI, 4 USB Type A, 1 LAN",4 GB,2 GB,Lubuntu,2016,90,,Korea Selatan,LG,43SM5KE-BJ,203INRC1M142,,"43""",2020,110,DP to HDMI,,HDMI TO HDMI,26,,,,
27,432,FIDS - Display 432,Checkin 94 T2F,2F,Checkin,172.17.70.211,Jepang,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,203INYD24466,,"43""",2020,110,DP to HDMI,ü,VGA TO HDMI,27,,,,
28,433,FIDS - Display 433,Checkin 95 T2F,2F,Checkin,172.17.70.212,China,Fujitech,Smart PC,Filled By O.E.M,"1 VGA, 1 DVI, 1 HDMI, 4 USB Type A, 1 LAN",500 GB,2 GB,Lubuntu,2016,90,,Korea Selatan,LG,43SM5KE-BJ,203INBS1M141,,"43""",2020,110,VGA & HDMI,,HDMI TO HDMI,28,,,,
29,434,FIDS - Display 434,Checkin 96 T2F,2F,Checkin,172.17.70.212,China,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,203INWA1M137,,"43""",2020,110,VGA & HDMI,ü,VGA TO HDMI,29,,,,
30,435,FIDS - Display 435,Checkin 97 T2F,2F,Checkin,172.17.70.213,Taiwan,Fujitech,Smart PC,Filled By O.E.M,"1 VGA, 1 DVI, 1 HDMI, 4 USB Type A, 1 LAN",250 GB,2 GB,Lubuntu,2016,90,,Korea Selatan,LG,43SM5KE-BJ,203INTX1M129,,"43""",2020,110,VGA & HDMI,,HDMI TO HDMI,30,,,,
31,436,FIDS - Display 436,Checkin 98 T2F,2F,Checkin,172.17.70.213,Taiwan,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,203INUB1M134,,"43""",2020,110,VGA & HDMI,ü,VGA TO HDMI,31,,,,
32,437,FIDS - Display 437,Checkin 99 T2F,2F,Checkin,172.17.70.214,China,CGEAR,Smart PC,Filled By O.E.M,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",250 GB,1 GB,Lubuntu,2018,100,,Korea Selatan,LG,43SM5KE-BJ,203INLV24496,,"43""",2020,110,DP,ü,VGA TO HDMI,32,,,,
33,438,FIDS - Display 438,Checkin 100 T2F,2F,Checkin,172.17.70.214,China,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,203INRC24462,,"43""",2020,110,VGA,,DVI TO DVI,33,,,,
34,439,FIDS - Display 439,Checkin 101 T2F,2F,Checkin,172.16.18.32,China,HP,Thin Client Elite t655,8CG42730YC,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,130,,China,BOE,DV43A-A,D430132AA310200153,,"43""",2024,130,HDMI,,HDMI,34,,,,
37,442,FIDS - Display 442,General Boarding Depan Bakso Atas Afung T2F (Kiri),2F,Shoping Arcade,172.17.70.237,China,HP,Thin Client t630,8CN91608LB,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win 10,2018,100,,China,BOE,LDV55AAAXX,D550134AA2Z0600075,,"55""",2022,120,HDMI,,HDMI TO HDMI,37,,,,
38,443,FIDS - Display 443,General Boarding Depan Bakso Bawah Afung T2F (Kiri),2F,Shoping Arcade,172.17.70.237,China,,,,,,,,,,,Korea Selatan,LG,LDV55AAAXX,D550134AA2Z0600009,,"55""",2025,135,HDMI,,DP TO HDMI,38,,,,
39,444,FIDS - Display 444,General Bording central coridor kiri baru T2F,2F,Shoping Arcade,172.17.70.231,China,Lenovo,ThinkEdge SE10,PF63FTGE,"VGA, DVI",148GB,2GB,Lubuntu,2012,70,,Korea,LG,65UH5C,805KCQXKY172,,"65""",2018,100,VGA,ü,VGA TO HDMI,39,,,,
43,481,FIDS - Display 481,General Bording central coridor Kanan baru T2F (Shoping Arrcade 4),2F,Boarding,172.17.106.64,China,Asus,E520,K1MSAC003571,HDMI,1 TB,4 GB,Win 10,2018,,,,,,,,,,,,,,,,,,
44,445,FIDS - Display 445,Baggage Breakdown 11 T2F,2F,Breakdown,172.16.18.64,China,LENOVO,ThinkEdge SE10,PF4BMZJW,"2 VGA, 2 HDMI, 2DP, 2 LAN",256GB,8GB,Win10,2025,135,,Korea Selatan,LG,32LM55TCBTA,204INHZ0N081,,"32""",2012,70,,,HDMI TO HDMI,40,,,,
45,446,FIDS - Display 446,Baggage Breakdown 12 T2F,2F,Breakdown,172.16.18.65,China,Intel Nuc,NUC7i3BNH,G6BN82100HVP,"1 VGA, 1 HDMI",464GB,4GB,Win10,2017,95,,Korea Selatan,LG,32LM550BPTA,109INYD1C010,,"32""",2012,70,HDMI,,HDMI TO HDMI,41,,,,
46,447,FIDS - Display 447,Baggage Breakdown 13 T2F,2F,Breakdown,172.16.18.66,China,HP,Thin Client t640,8CN0480K3K,Dp to hdmi,60GB,8GB,Win10,2018,100,,Korea Selatan,LG,32LM550BPTA,109INKH1C021,,"32""",2013,75,VGA,,DP TO HDMI,42,,,,
47,448,FIDS - Display 448,Baggage Breakdown 14 T2F,2F,Breakdown,172.16.18.68,China,ZOTAC,Zotac,G134400001947,DVI to VGA,500 GB,2GB,Lubuntu,2011,65,,Korea Selatan,LG,43LT340C0TB,003INLV6K216,,"43""",2014,80,DVI,,VGA TO HDMI,43,,,,
48,449,FIDS - Display 449,General Breakdown T2F,2F,Breakdown,172.16.18.69,China,HP,Thin Client t640,8CN0480K3P,3 DP,60GB,8GB,Win 10,,,,Jepang,Sony,FW-65BZ35F,5001274,,"65""",2019,105,HDMI,,DP TO HDMI,44,,,,
49,450,FIDS - Display 450,Baggage Claim F11 Kiri T2F,2F,Baggage,172.16.18.11,China,HP,Thin Client Elite t655,8CG5063T7N,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2025,135,,Korea,LG,43LT430COTB,003INPT6K232,,"43""",2018,100,HDMI DAN VGA,, HDMI,45,,,,
50,451,FIDS - Display 451,Baggage Claim F11 Kanan T2F,2F,Baggage,172.16.18.11,,,,,,,,,,,,Korea,LG,43LT430COTB,003INXJ6K250,,"43""",2018,100,HDMI DAN VGA,ü,VGA TO HDMI,46,,,,
51,452,FIDS - Display 452,Baggage Claim F12 Kiri T2F,2F,Baggage,172.16.18.12,China,HP,Thin Client t630,8CN91608LH,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win 10,2018,100,,Korea,LG,43LT430COTB,001INCN8Z539,,"43""",2018,100,DP DAN DP,ü,DP TO HDMI,47,,,,
52,453,FIDS - Display 453,Baggage Claim F12 Kanan T2F,2F,Baggage,172.16.18.12,China,,Thin Client t630,,,,,,,,,Korea,LG,43LT430COTB,003INJL6K228,,"43""",2018,100,DP DAN DP,ü,DP TO HDMI,48,,,,
53,454,FIDS - Display 454,Baggage Claim F13 Kiri T2F,2F,Baggage,172.16.18.13,China,HP,Thin Client Elite t655,8CG42730Y1,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,130,,Korea,LG,43LT430COTB,002INSL39470,,"43""",2018,100,"HDMI,DP",ü,VGA TO HDMI,49,,,,
54,455,FIDS - Display 455,Baggage Claim F13 Kanan T2F,2F,Baggage,172.16.18.13,,,,,,,,,,,,Korea,LG,43LT430COTB,003INZY6K165,,"43""",2018,100,"HDMI,DP",,HDMI,50,,,,
55,456,FIDS - Display 456,Baggage Claim F14 Kiri T2F,2F,Baggage,172.16.18.14,China,HP,Thin Client Elite t655,8CG40935ZK,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Win 10,2018,100,,Korea,LG,43LT430COTB,003INXJ6K154,,"43""",2018,100,"HDMI,DP",,DP TO HDMI,51,,,,
56,457,FIDS - Display 457,Baggage Claim F14 Kanan T2F,2F,Baggage,172.16.18.14,,,,,,,,,,,,Korea,LG,43LT430COTB,003INFK6K227,,"43""",2018,100,"HDMI,DP",,DP TO HDMI,52,,,,
58,459,FIDS - Display 459,General Baggage Claim T2F Dpn Conveyor 13,2F,Baggage,172.16.18.19,Taiwan,Intel Nuc,DN2820FYK,G6FY522002WF,"1 VGA, 1 HDMI",1TB,4GB,Lubuntu,2015,75,,Korea,LG,65UH5C-BF,807KCBDP1837,,"65""",2018,100,HDMI,,HDMI,94,,,,
59,460,FIDS - Display 460,General Baggage Claim T2F,2F,Baggage,172.16.18.93,China,CGEAR,D945GSEJT,Filled By O.E.M,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",160GB,1GB,Lubuntu,2012,70,,Korea,LG,,805KCTBKY177,,"65""",2018,100,,ü,VGA TO HDMI,95,,,,
60,461,FIDS - Display 461,Arrival Belakang 7 Icon EF Kiri T2F,2F,Arrival,172.16.18.70,China,HP ,Thin Client t640,8CG3452KF8,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,2022,120,,China,BOE,SR75AA,807KCASND392,,"75""",2022,100,,,VGA TO HDMI,96,,,,
61,462,FIDS - Display 462,Arrival Belakang 7 Icon EF Kanan T2F,2F,Arrival,172.16.18.71,,Signage,,Signage,,,,Signage,2017,95,,Korea Selatan,LG,75XF3C,807KCDGND386,,"75""",2018,100,,,Signage,97,,,,
62,463,FIDS - Display 463,Breakdown General Baggage Claim T2F,2F,Arrival,172.16.18.69,China,HP ,Thin Client t640,8CN0480K3P,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,2018,,,,,,,,,,,,,,53,,,,
63,464,FIDS - Display 464,General Baggage Claim Central Corridor F1,2F,Baggage Claim,172.17.106.158,China,Asus,E520,K3MSAC004301L8L,HDMI,1 TB,4 GB,Win 10,2018,,,,,,,,,,,,,,54,,,,
64,465,FIDS - Display 465,General Baggage Claim Central Corridor F2 ,2F,Baggage Claim,172.17.106.159,China,Asus,E520,K3MSAC004200FB8,HDMI,1 TB,4 GB,Win 10,2018,,,,,,,,,,,,,,55,,,,
65,466,FIDS - Display 466,General Baggage Claim Central Corridor F3,2F,Baggage Claim,172.17.106.160,China,Asus,E520,K3MSAC004222EXM,HDMI,1 TB,4 GB,Win 10,2018,,,,,,,,,,,,,,56,,,,
66,467,FIDS - Display 467,General Baggage Claim Central Corridor F5,2F,Baggage Claim,172.17.106.156,China,Asus,E520,K3MSAC004304EEG,HDMI,1 TB,4 GB,Win 10,2018,,,,,,,,,,,,,,57,,,,
67,468,FIDS - Display 468,General Baggage Claim Central Corridor F6,2F,Baggage Claim,172.17.106.155,China,Asus,E520,K3MSAC004295XSH,HDMI,1 TB,4 GB,Win 10,2018,,,,,,,,,,,,,,58,,,,
68,469,FIDS - Display 469,General Boarding T2F_A,2F,Baggage Claim,172.17.106.161,China,Asus,E520,K3MSAC004204HJ2,HDMI,1 TB,4 GB,Win 10,2018,,,,,,,,,,,,,,59,,,,
69,470,FIDS - Display 470,General Boarding T2F_B,2F,Baggage Claim,172.17.106.157,China,Asus,E520,K3MSAC0042177E5,HDMI,1 TB,4 GB,Win 10,2018,,,,,,,,,,,,,,60,,,,
70,471,FIDS - Display 471,Arrival Lounge F1,2F,Baggage Claim,172.17.106.121,China,Asus,E520,K3MSAC0042096ZM,HDMI,1 TB,4 GB,Win 10,2018,,,,,,,,,,,,,,61,,,,
71,472,FIDS - Display 472,Arrival Lounge F2,2F,Baggage Claim,172.17.106.122,China,Asus,E520,K3MSAC0042495LN,HDMI,1 TB,4 GB,Win 10,2018,,,China,BOE,LDV55AAAXX,D550134AA2Z0600089,,"55""",2022,,HDMI,,,62,,,,
72,473,FIDS - Display 473,Arrival Lounge F3,2F,Baggage Claim,172.17.106.123,China,Asus,E520,K3MSAC004291PX4,HDMI,1 TB,4 GB,Win 10,2018,,,,,,,,,,,,,,63,,,,
73,474,FIDS - Display 474,Arrival Lounge F4,2F,Baggage Claim,172.17.106.124,China,Asus,E520,,HDMI,1 TB,4 GB,Win 10,2018,,,China,BOE,LDV55AAAXX,D550134AA2Z0600098,,55'',2022,120,HDMI,,HDMI TO HDMI,64,,,,
74,475,FIDS - Display 475,Arrival Lounge F5,2F,Baggage Claim,172.17.106.125,China,Asus,E520,K1MSAC003542,HDMI,1 TB,4 GB,Win 10,2018,,,,,,,,,,,,,,65,,,,
75,476,FIDS - Display 476,Arrival Lounge F6 ( Lounge 20),2F,Baggage Claim,172.17.106.126,China,Asus,E520,K1MSAC003565,HDMI,1 TB,4 GB,Win 10,2018,,,,,,,,,,,,,,66,,,,
76,477,FIDS - Display 477,Arrival Lounge F7 ( Lounge 21),2F,Baggage Claim,172.17.106.127,China,Asus,E520,K3MSAC0043029NK,HDMI,1 TB,4 GB,Win 10,2018,,,,,,,,,,,,,,67,,,,
77,482,FIDS - Display 482,General Boarding SCP2 Kiri,2F,Boarding,172.17.106.65,China,Asus,E520,K1MSAC003583,HDMI,1 TB,4 GB,Win 10,2018,,,,SAMSUNG,PM55H,046KHNFM400075D,,"55""",,,,,,,,,,
78,483,FIDS - Display 483,General Boarding SCP2 Kanan ,2F,Boarding,172.17.106.66,China,Asus,E520,K1MSAC003547,HDMI,1 TB,4 GB,Win 10,2018,,,,SAMSUNG,PM55H,046KHNFM800082P,,"55""",,,,,,,,,,
79,484,FIDS - Display 484,Gate_F1_P,2F,Boarding,172.17.106.91,China,ASUS,E520,K3MSAC00426863C,"1 HDMI, 1DP, 3 USB",1TB,4GB,Win 10,2018,100,,Korea Selatan,SAMSUNG,PM55H,046KHNFM400410L,"2 HDMI, 1 DVI, 1DP","55"" ",2017,95,"2HDMI, DP, DVI",,HDMI ,68,,,,
80,485,FIDS - Display 485,Gate_F2_P,2F,Boarding,172.17.106.92,China,ASUS,E520,K3MSAC00420748P,"1 HDMI, 1DP, 3 USB",1TB,4GB,Win 10,2018,,,Korea Selatan,SAMSUNG,PM55H,046KHNFM400438K,"2 HDMI, 1 DVI, 1DP","55"" ",2017,95,"2HDMI, DP, DVI",,HDMI ,69,,,,
81,486,FIDS - Display 486,Gate_F3_P,2F,Boarding,172.17.106.93,China,ASUS,E520,K3MSAC00422049V,"1 HDMI, 1DP, 3 USB",1TB,4GB,Win 10,2018,100,,Vietnam,SAMSUNG,PM55H,046KHNFM400268D,"2 HDMI, 1 DVI, 1DP","55"" ",2017,95,"2HDMI, DP, DVI",,HDMI ,70,,,,
82,487,FIDS - Display 487,Gate_F4_P,2F,Boarding,172.17.106.94,China,ASUS,E520,K3MSAC004219DJ2,"1 HDMI, 1DP, 3 USB",1TB,4GB,Win 10,2018,,,Vietnam,SAMSUNG,PM55H,046KHNFM800103M,"2 HDMI, 1 DVI, 1DP","55"" ",2017,95,"2HDMI, DP, DVI",,HDMI ,71,,,,
83,488,FIDS - Display 488,Gate_F5_P,2F,Boarding,172.17.106.95,Korea,HP,Thin Client Elite t655,8CG5063T82,"1 HDMI, 1DP, 3 USB",1TB,4GB,Win 10,2018,100,,Vietnam,SAMSUNG,PM55H,046KHNFM400210X,"2 HDMI, 1 DVI, 1DP","55"" ",2017,95,"2HDMI, DP, DVI",,HDMI ,72,,,,
84,489,FIDS - Display 489,Gate_F6_P,2F,Boarding,172.17.106.96,China,ASUS,E520,K1MSAC003585,"1 HDMI, 1DP, 3 USB",1TB,4GB,Win 10,2018,,,Vietnam,SAMSUNG,PM55H,046KHNFM400051E,"2 HDMI, 1 DVI, 1DP","55"" ",2017,95,"2HDMI, DP, DVI",,HDMI ,73,,,,
85,490,FIDS - Display 490,Gate_F7_P,2F,Boarding,172.17.106.97,China,ASUS,E520,K3MSAC004297ZTA,"1 HDMI, 1DP, 3 USB",1TB,4GB,Win 10,2018,100,,Vietnam,SAMSUNG,PM55H,046KHNFM400218B,"2 HDMI, 1 DVI, 1DP","55"" ",2017,95,"2HDMI, DP, DVI",,HDMI ,74,,,,
86,491,FIDS - Display 491,Boarding Lounge F5 ,2F,Boarding,172.17.106.106,China,ASUS,E520,K3MSAC004301L8L,"1 HDMI, 1DP, 3 USB",1TB,4GB,Win 10,2018,,,Vietnam,SAMSUNG,PM55H,046KHNFM400217N,"2 HDMI, 1 DVI, 1DP","55"" ",2017,95,"2HDMI, DP, DVI",,HDMI ,75,,,,
87,492,FIDS - Display 492,Boarding Lounge F6 (Lounge 20),2F,Boarding,172.17.106.108,China,ASUS,E520,K1MSAC003587,"1 HDMI, 1DP, 3 USB",1TB,4GB,Win 10,2018,100,,Vietnam,SAMSUNG,PM55H,046KHNFM400220H,"2 HDMI, 1 DVI, 1DP","55"" ",2017,95,"2HDMI, DP, DVI",,HDMI ,76,,,,
88,493,FIDS - Display 493,Boarding Lounge F7 (Lounge 21),2F,Boarding,172.17.106.110,China,ASUS,E520,K3MSAC004299CU3,"1 HDMI, 1DP, 3 USB",1TB,4GB,Win 10,2018,,,Vietnam,SAMSUNG,PM55H,046KHNFM800101N,"2 HDMI, 1 DVI, 1DP","55"" ",2017,95,"2HDMI, DP, DVI",,HDMI ,77,,,,
89,494,FIDS - Display 494,Connecting Lounge F1,2F,Boarding,172.17.106.90,China,ASUS,E520,K3MSAC004255W3D,"1 HDMI, 1DP, 3 USB",1TB,4GB,Win 10,2018,100,,Vietnam,SAMSUNG,PM55H,046KHNFM800124T,"2 HDMI, 1 DVI, 1DP","55"" ",2017,95,"2HDMI, DP, DVI",,HDMI ,78,,,,
90,495,FIDS - Display 495,Connecting Lounge F1-F2,2F,Boarding,172.17.106.89,China,ASUS,E520,K1MSAC003609,"1 HDMI, 1DP, 3 USB",1TB,4GB,Win 10,2018,,,Vietnam,SAMSUNG,PM55H,046KHNFM800119A,"2 HDMI, 1 DVI, 1DP","55"" ",2017,95,"2HDMI, DP, DVI",,HDMI ,79,,,,
91,496,FIDS - Display 496,Connecting Lounge F2,2F,Boarding,172.17.106.98,China,ASUS,E520,K1MSAC003582,"1 HDMI, 1DP, 3 USB",1TB,4GB,Win 10,2018,100,,Vietnam,SAMSUNG,PM55H,046KHNFM800099L,"2 HDMI, 1 DVI, 1DP","55"" ",2017,95,"2HDMI, DP, DVI",,HDMI ,80,,,,
92,497,FIDS - Display 497,Connecting Lounge F2-F3,2F,Boarding,172.17.106.99,China,ASUS,E520,K3MSAC0042723ZA,"1 HDMI, 1DP, 3 USB",1TB,4GB,Win 10,2018,,,Vietnam,SAMSUNG,PM55H,046KHNFM400465Z,"2 HDMI, 1 DVI, 1DP","55"" ",2017,95,"2HDMI, DP, DVI",,HDMI ,81,,,,
93,498,FIDS - Display 498,Connecting Lounge F3,2F,Boarding,172.17.106.100,China,ASUS,E520,K3MSAC004224W4X,"1 HDMI, 1DP, 3 USB",1TB,4GB,Win 10,2018,100,,Vietnam,SAMSUNG,PM55H,046KHNFM800094Z,"2 HDMI, 1 DVI, 1DP","55"" ",2017,95,"2HDMI, DP, DVI",,HDMI ,82,,,,
94,499,FIDS - Display 499,Connecting Lounge F3_F4 Kiri,2F,Boarding,172.17.106.101,China,ASUS,E520,K1MSAC003597,"1 HDMI, 1DP, 3 USB",1TB,4GB,Win 10,2018,,,Korea,LG,55SM5KC,710KCJZ03772,"2 HDMI, 1 DVI, 1DP","55""",2016,90,"2HDMI, DP, DVI",,HDMI ,83,,,,
95,500,FIDS - Display 500,Connecting Lounge F3_F4 Kanan,2F,Boarding,172.17.106.102,China,ASUS,E520,K3MSAC004228FTB,"1 HDMI, 1DP, 3 USB",1TB,4GB,Win 10,2018,100,,Vietnam,SAMSUNG,PM55H,046KHNFM500044H,"2 HDMI, 1 DVI, 1DP","55"" ",2017,95,"2HDMI, DP, DVI",,HDMI ,84,,,,
96,501,FIDS - Display 501,Connecting Lounge F4 ,2F,Boarding,172.17.106.103,China,ASUS,E520,K3MSAC004298637,"1 HDMI, 1DP, 3 USB",1TB,4GB,Win 10,2018,,,Vietnam,SAMSUNG,PM55H,046KHNFM800072M,"2 HDMI, 1 DVI, 1DP","55"" ",2017,95,"2HDMI, DP, DVI",,HDMI ,85,,,,
97,502,FIDS - Display 502,Connecting Lounge F4-F5 Kanan,2F,Boarding,172.17.106.105,China,ASUS,E520,K1MSAC003563,"1 HDMI, 1DP, 3 USB",1TB,4GB,Win 10,2018,100,,Vietnam,SAMSUNG,PM55H,046KHNFM800110W,"2 HDMI, 1 DVI, 1DP","55"" ",2017,95,"2HDMI, DP, DVI",,HDMI ,86,,,,
98,503,FIDS - Display 503,Connecting Lounge F4-F5 Kiri,2F,Boarding,172.17.106.104,China,ASUS,E520,K3MSAC004245V95,"1 HDMI, 1DP, 3 USB",1TB,4GB,Win 10,2018,,,Vietnam,SAMSUNG,PM55H,046KHNFM400112P,"2 HDMI, 1 DVI, 1DP","55"" ",2017,95,"2HDMI, DP, DVI",,HDMI ,87,,,,
99,504,FIDS - Display 504,Connecting Lounge F5-F6,2F,Boarding,172.17.106.107,China,ASUS,E520,K3MSAC0042768GP,"1 HDMI, 1DP, 3 USB",1TB,4GB,Win 10,2018,100,,Vietnam,SAMSUNG,PM55H,046KHNFM400470E,"2 HDMI, 1 DVI, 1DP","55"" ",2017,95,"2HDMI, DP, DVI",,HDMI ,88,,,,
100,505,FIDS - Display 505,Connecting Lounge F6-F7,2F,Boarding,172.17.106.109,China,ASUS,E520,K1MSAC003604,"1 HDMI, 1DP, 3 USB",1TB,4GB,Win 10,2018,,,Vietnam,SAMSUNG,PM55H,046KHNFM400214J,"2 HDMI, 1 DVI, 1DP","55"" ",2017,95,"2HDMI, DP, DVI",,HDMI ,89,,,,
101,506,FIDS - Display 506,Baggage Claim New Atas 11 T2F,2F,Arrival,172.16.18.76,China,HP ,Thin Client t640,8CN2490GPX,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,2023,125,,Korea,LG,55UQ751C0SF,211INHZ7G625,,"55""",2022,100,,,DP TO HDMI,90,,,,
102,507,FIDS - Display 507,Baggage Claim New Atas 12 T2F,2F,Arrival,172.16.18.77,China,HP ,Thin Client t640,8CN2490GPV,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,2023,125,,Korea,LG,55UQ751C0SF,211INGQ7G631,,"55""",2022,100,,,DP TO HDMI,91,,,,
103,508,FIDS - Display 508,Baggage Claim New Atas 13 T2F,2F,Arrival,172.16.18.78,China,HP ,Thin Client t640,8CN2490GR4,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,2023,125,,Korea,LG,55UQ751C0SF,211INKH7G613,,"55""",2022,100,,,DP TO HDMI,92,,,,
104,509,FIDS - Display 509,Baggage Claim New Atas 14 T2F,2F,Arrival,172.16.18.79,China,HP ,Thin Client t640,8CN2490GP3,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,2023,125,,Korea,LG,55UQ751C0SF,211INEW7G612,,"55""",2022,100,,,DP TO HDMI,93,,,,
105,509,FIDS - Display 509,Tengah Imigrasi Arrival T2F,2F,Arrival, 172.17.106.170 ,China,Asus,E520,K1MSAC003038,"HDMI, DP",1 TB,4 GB,Win 10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,510,FIDS - Display 511,General Boarding Masjid Dalam T2F,2F Umroh,Masjid Lt.2,172.17.106.68,Taiwan,Asus,E520,K1MSAC003572,"HDMI, DP",1 TB,4 GB,Win 10,,,,Korea,BOE,DV55A-A,D550134AA2Z0600140,HDMI,"55""",,,,,,,,,,
,511,FIDS - Display 512,General Boarding Masjid LuarT2F,2F Umroh,Masjid Lt.2,172.17.106.67,Taiwan,Asus,E520,K1MSAC003584,"HDMI, DP",1 TB,4 GB,Win 10,,,,Korea,Samsung,PM55H,046KHNFM500029V,"HDMI, DP","55""",,,,,,,,,,
,512,FIDS - Display 513,General Baggage Claim Sebelum Imigrasi T2F,2F Umroh,Arrival,172.17.106.171,Taiwan,Asus,E520,K1MSAC003603,"HDMI, DP",1 TB,4 GB,Win 10,,,,Korea,Samsung,PM55H,046KHNFM800073L,"HDMI, DP","55""",,,,,,,,,,
,513,FIDS - Display 514,Plaza Umroh Kiri Tangga T2F,2F Umroh,Arrival,172.17.106.178,Taiwan,Asus,E520,K1MSAC003574,"HDMI, DP",1 TB,8 GB,Win 10,,,,Korea,Samsung,QM55C,0SL3HNDWB00099T,"HDMI, DP","55""",,,,,,,,,,
,514,FIDS - Display 515,Plaza Umroh Kanan Tangga T2F,2F Umroh,Arrival,172.17.106.179,Malaysia,Dell,D15U,,HDMI ,500 GB,8 GB,Win 11,,,,Korea,Samsung,PM55H,046KHNFM800080T,"HDMI, DP","55""",,,,,,,,,,
,515,FIDS - Display 516,Plaza Depan Pintu Lift Gate 6 T2F,2F Umroh,Arrival,172.17.106.180,Malaysia,Dell,D15U,,HDMI,500 GB,8 GB,Win 11,,,,Korea,Samsung,QM55C,0SL3HNDWC00123T,"HDMI, DP","55""",,,,,,,,,,
